CUST_ID,BALANCE,PURCHASES,CASH_ADVANCE,CREDIT_LIMIT,PAYMENTS,PRC_FULL_PAYMENT,BALANCE_TO_LIMIT,PURCHASES_TO_LIMIT,CASH_ADVANCE_RATIO,PAYMENT_TO_BALANCE,PURCHASE_FREQUENCY_SCORE,TOTAL_TRX,Cluster_ID,Segment_Label
C10001,3.735303702663308,4.5685062016165,0.0,6.90875477931522,5.312230547798351,0.0,0.04004718798163016,0.09103258511341014,0.0,1.7606458828489906,0.125,1.0986122886681098,0,Cash Advance Heavy
C10002,8.07198906965229,0.0,8.77089628414314,8.853808274977197,8.319725329557853,0.222222,0.3766746092728193,0.0,1.1023523352647415,0.8245305740416558,0.0,1.6094379124341003,0,Cash Advance Heavy
C10003,7.82250436793527,6.651791487715673,0.0,8.922791623969637,6.434653643065494,0.0,0.2871635600311824,0.09810226913023022,0.0,0.2225118274637325,0.5,2.5649493574615367,0,Cash Advance Heavy
C10004,7.419183046623112,7.313220387090301,5.331694196081131,8.922791623969637,0.0,0.0,0.20064687869345949,0.18218823234872017,0.11635845180367252,0.0,0.0416665,1.0986122886681098,0,Cash Advance Heavy
C10005,6.70773522569534,2.833213344056216,0.0,7.0909098220799835,6.521114029626576,0.0,0.5193062978618571,0.013234270907543632,0.0,0.6035159557816488,0.0416665,0.6931471805599453,0,Cash Advance Heavy
C10006,7.5015398929484585,7.1961470995031585,0.0,7.496097345175956,7.244982780319138,0.0,0.695595250717728,0.5540574164422334,0.0,0.5727624598127272,0.625,2.1972245773362196,0,Cash Advance Heavy
C10007,6.442955376434953,8.866724077232586,0.0,9.510519035757246,8.757046643926731,1.0,0.04541334713694538,0.4221393797040295,0.0,2.408217681655882,1.0,4.174387269895637,1,Transactors
C10008,7.509144970103254,6.080390756302384,0.0,7.741099090035366,6.522188502413885,0.0,0.5836380216746331,0.17359168904297678,0.0,0.3163870660702887,1.0,2.5649493574615367,0,Cash Advance Heavy
C10009,6.92355625642517,6.759823554635403,0.0,8.853808274977197,6.535645496995635,0.0,0.1353773757754404,0.11605035417059419,0.0,0.5172977729504629,0.2916665,1.791759469228055,0,Cash Advance Heavy
C10010,5.031913792542936,7.156644546714762,0.0,9.305741456739435,7.06113759883932,0.0,0.013742603414497779,0.1101974489351949,0.0,2.1519543170533,0.0833335,1.3862943611198906,0,Cash Advance Heavy
